ts_code,symbol,name,area,industry,fullname,enname,market,exchange_id,curr_type,list_status,list_date,delist_date,is_hs
000153.SZ,000153,丰原药业,安徽,化学制药,安徽丰原药业股份有限公司,Anhui Fengyuan Pharmaceutical Co., Ltd.,主板,SZSE,CNY,L,2000-09-20,,N
000155.SZ,000155,川能动力,四川,农药化肥,四川省新能源动力股份有限公司,SICHUAN NEW ENERGY POWER COMPANY LIMITED,主板,SZSE,CNY,L,2000-09-26,,S
000156.SZ,000156,华数传媒,浙江,影视音像,华数传媒控股股份有限公司,Wasu Media Holding Co.,Ltd,主板,SZSE,CNY,L,2000-09-06,,S
000157.SZ,000157,中联重科,湖南,工程机械,中联重科股份有限公司,Zoomlion Heavy Industry Science and Technology Co., Ltd.,主板,SZSE,CNY,L,2000-10-12,,S
000158.SZ,000158,常山北明,河北,纺织,石家庄常山北明科技股份有限公司,Shijiazhuang ChangShan BeiMing Technology Co., Ltd,主板,SZSE,CNY,L,2000-07-24,,S
000159.SZ,000159,国际实业,新疆,石油贸易,新疆国际实业股份有限公司,Xinjiang International Industry Co.,Ltd,主板,SZSE,CNY,L,2000-09-26,,N
000166.SZ,000166,申万宏源,新疆,证券,申万宏源集团股份有限公司,Shenwan Hongyuan Group Co.,Ltd.,主板,SZSE,CNY,L,2015-01-26,,S
000301.SZ,000301,东方盛虹,江苏,综合类,江苏东方盛虹股份有限公司,Jiangsu Eastern Shenghong Co.,Ltd.,主板,SZSE,CNY,L,2000-05-29,,S
000333.SZ,000333,美的集团,广东,家用电器,美的集团股份有限公司,Midea Group Co.,Ltd.,主板,SZSE,CNY,L,2013-09-18,,S
000338.SZ,000338,潍柴动力,山东,汽车配件,潍柴动力股份有限公司,Weichai Power Co.,Ltd.,主板,SZSE,CNY,L,2007-04-30,,S
000400.SZ,000400,许继电气,河南,电气设备,许继电气股份有限公司,XUJI Electric Co.,Ltd.,主板,SZSE,CNY,L,1997-04-18,,S
000401.SZ,000401,冀东水泥,河北,水泥,唐山冀东水泥股份有限公司,Tangshan Jidong Cement Co.,Ltd.,主板,SZSE,CNY,L,1996-06-14,,S
000402.SZ,000402,金融街,北京,全国地产,金融街控股股份有限公司,Financial Street Holdings Co., Ltd.,主板,SZSE,CNY,L,1996-06-26,,S
000403.SZ,000403,ST生化,山西,生物制药,振兴生化股份有限公司,Zhenxing Biopharmaceutical & Chemical Co., Ltd,主板,SZSE,CNY,L,1996-06-28,,N
000404.SZ,000404,长虹华意,江西,专用机械,长虹华意压缩机股份有限公司,Changhong Huayi Compressor Co., Ltd.,主板,SZSE,CNY,L,1996-06-19,,N
000405.SZ,000405,ST鑫光(退市),None,None,珠海金马控股股份有限公司,Zhuhai Kingma Holding Co.,Ltd,主板,SZSE,CNY,D,1996-06-20,2004-03-19,N
000406.SZ,000406,石油大明(退市),None,None,中国石化胜利油田大明(集团)股份有限公司,Sinopec Shengli Oil Field Dynamic Group Co.,Ltd,主板,SZSE,CNY,D,1996-06-28,2006-04-21,N
000407.SZ,000407,胜利股份,山东,供气供热,山东胜利股份有限公司,Shandong Shengli Co.,Ltd.,主板,SZSE,CNY,L,1996-07-03,,S
000408.SZ,000408,藏格控股,青海,农药化肥,藏格控股股份有限公司,ZANGGE HOLDING COMPANY LIMITED,主板,SZSE,CNY,L,1996-06-28,,N
000409.SZ,000409,*ST地矿,山东,综合类,山东地矿股份有限公司,Shandong Geo-Mineral Co.,Ltd,主板,SZSE,CNY,L,1996-06-27,,N
000410.SZ,000410,沈阳机床,辽宁,机床制造,沈阳机床股份有限公司,Shenyang Machine Tool Co.,Ltd,主板,SZSE,CNY,L,1996-07-18,,N
000412.SZ,000412,ST五环(退市),None,None,长春北方五环实业股份有限公司,Changchun North China Wuhuan Co.,Ltd,主板,SZSE,CNY,D,1996-07-15,2003-09-19,N
000413.SZ,000413,东旭光电,河北,元器件,东旭光电科技股份有限公司,Tunghsu Optoelectronic Technology Co.,Ltd.,主板,SZSE,CNY,L,1996-09-25,,S
000415.SZ,000415,渤海金控,新疆,多元金融,渤海金控投资股份有限公司,Bohai Capital Holding Co.,Ltd,主板,SZSE,CNY,L,1996-07-16,,S
000416.SZ,000416,民生控股,山东,多元金融,民生控股股份有限公司,Minsheng Holdings Co.,Ltd,主板,SZSE,CNY,L,1996-07-19,,N
000417.SZ,000417,合肥百货,安徽,百货,合肥百货大楼集团股份有限公司,Hefei Department Store Group Co.,Ltd,主板,SZSE,CNY,L,1996-08-12,,S
000418.SZ,000418,小天鹅A,江苏,家用电器,无锡小天鹅股份有限公司,Wuxi Little Swan Company Limited,主板,SZSE,CNY,L,1997-03-28,,S
000419.SZ,000419,通程控股,湖南,百货,长沙通程控股股份有限公司,Changsha Tongcheng Holdings Co.,Ltd,主板,SZSE,CNY,L,1996-08-16,,N
000420.SZ,000420,吉林化纤,吉林,化纤,吉林化纤股份有限公司,Jilin Chemical Fibre Co., Ltd,主板,SZSE,CNY,L,1996-08-02,,N
000421.SZ,000421,南京公用,江苏,供气供热,南京公用发展股份有限公司,NanJing Public Utilities Development Co.,Ltd.,主板,SZSE,CNY,L,1996-08-06,,N
000422.SZ,000422,*ST宜化,湖北,农药化肥,湖北宜化化工股份有限公司,Hubei Yihua Chemical Industry Co.,Ltd,主板,SZSE,CNY,L,1996-08-15,,N
000423.SZ,000423,东阿阿胶,山东,中成药,东阿阿胶股份有限公司,Dong-E-E-Jiao Co., Ltd.,主板,SZSE,CNY,L,1996-07-29,,S
000425.SZ,000425,徐工机械,江苏,工程机械,徐工集团工程机械股份有限公司,XCMG Construction Machinery Co., Ltd.,主板,SZSE,CNY,L,1996-08-28,,S
000426.SZ,000426,兴业矿业,内蒙,铅锌,内蒙古兴业矿业股份有限公司,Inner Mongolia Xingye Mining Co.,Ltd,主板,SZSE,CNY,L,1996-08-28,,S
000428.SZ,000428,华天酒店,湖南,酒店餐饮,华天酒店集团股份有限公司,Huatian Hotel Group Co.,Ltd.,主板,SZSE,CNY,L,1996-08-08,,N
000429.SZ,000429,粤高速A,广东,路桥,广东省高速公路发展股份有限公司,Guangdong Provincial Expressway Development Co.,Ltd.,主板,SZSE,CNY,L,1998-02-20,,S
000430.SZ,000430,张家界,湖南,旅游景点,张家界旅游集团股份有限公司,Zhang Jia Jie Tourism Group Co., Ltd,主板,SZSE,CNY,L,1996-08-29,,N
000488.SZ,000488,晨鸣纸业,山东,造纸,山东晨鸣纸业集团股份有限公司,Shandong Chenming Paper Holdings Limited,主板,SZSE,CNY,L,2000-11-20,,S
000498.SZ,000498,山东路桥,山东,建筑施工,山东高速路桥集团股份有限公司,Shandong Hi-Speed Road&Bridge Co.,Ltd.,主板,SZSE,CNY,L,1997-06-09,,S
000501.SZ,000501,鄂武商A,湖北,百货,武汉武商集团股份有限公司,Wuhan Department Store Group Co., Ltd.,主板,SZSE,CNY,L,1992-11-20,,S
000502.SZ,000502,绿景控股,广东,医疗保健,绿景控股股份有限公司,Lvjing Holding Co., Ltd,主板,SZSE,CNY,L,1992-11-23,,N
000503.SZ,000503,国新健康,海南,医疗保健,国新健康保障服务集团股份有限公司,China Reform Health Management and Services Group Co., Ltd.,主板,SZSE,CNY,L,1992-11-30,,S
000504.SZ,000504,南华生物,湖南,环境保护,南华生物医药股份有限公司,Nanhua Bio-Medicineco.,Ltd.,主板,SZSE,CNY,L,1992-12-08,,N
000505.SZ,000505,京粮控股,海南,食品,海南京粮控股股份有限公司,Hainan Jingliang Holdings Co., Ltd.,主板,SZSE,CNY,L,1992-12-21,,N
000506.SZ,000506,中润资源,山东,区域地产,中润资源投资股份有限公司,Zhongrun Resources Investment Corporation,主板,SZSE,CNY,L,1993-03-12,,N
000507.SZ,000507,珠海港,广东,港口,珠海港股份有限公司,Zhuhai Port Co., Ltd,主板,SZSE,CNY,L,1993-03-26,,S
000508.SZ,000508,琼民源A(退市),None,None,海南民源现代农业发展股份有限公司,Hainan Minyuan Modern Agriculture Development Co.,Ltd,主板,SZSE,CNY,D,1993-04-30,1999-07-12,N
000509.SZ,000509,华塑控股,四川,其他建材,华塑控股股份有限公司,Huasu Holdings Co.,Ltd,主板,SZSE,CNY,L,1993-05-07,,N
000510.SZ,000510,金路集团,四川,化工原料,四川金路集团股份有限公司,Sichuan Jinlu Group Co.,Ltd.,主板,SZSE,CNY,L,1993-05-07,,N
000511.SZ,000511,烯碳退(退市),None,None,银基烯碳新材料集团股份有限公司,Ingenious Ene-Carbon New Materials Group Co.,Ltd.,主板,SZSE,CNY,D,1993-05-18,2018-07-18,N
